Variety1,Processing1,Country,TastingGroup
catuai,honey,NA,Other Fruit
caturra,washed,NA,Berry Fruit
caturra,washed,NA,Other Fruit
castillo,natural,colombia,Stone Fruit
catuai,washed,bolivia,Black Tea
caturra,honey,colombia,Berry Fruit
bourbon,washed,guatemala,Brown Sugar
pacas,washed,honduras,Berry Fruit
caturra,washed,colombia,Other Fruit
bourbon,washed,guatemala,Other Fruit
sl28,washed,kenya,Other Fruit
castillo,washed,colombia,Cocoa
caturra,washed,guatemala,Brown Sugar
caturra,honey,costa rica,Stone Fruit
bourbon,washed,guatemala,Other Fruit
sl28,washed,kenya,Other Fruit
castillo,washed,colombia,Cocoa
caturra,washed,guatemala,Brown Sugar
caturra,honey,costa rica,Stone Fruit
heirloom,washed,NA,Stone Fruit
caturra,washed,NA,Cocoa
pacamara,natural,nicaragua,Stone Fruit
heirloom,natural,ethiopia,Berry Fruit
bourbon,washed,guatemala,Cocoa
castillo,washed,peru,Brown Sugar
heirloom,washed,ethiopia,Citrus Fruit
various,washed,brazil,Cocoa
bourbon,washed,guatemala,Brown Sugar
caturra,washed,colombia,Cocoa
various,washed,tanzania,Citrus Fruit
74110,washed,ethiopia,Brown Sugar
bourbon,natural,rwanda,Other Fruit
bourbon,washed,rwanda,Stone Fruit
typica,washed,mexico,Brown Sugar
colombia,washed,colombia,Citrus Fruit
bourbon,washed,guatemala,Cocoa
caturra,washed,colombia,Other Fruit
heirloom,washed,ethiopia,Floral
catuai,washed,guatemala,Brown Sugar
typica,washed,peru,Floral
bourbon,natural,brazil,Cocoa
catuai,washed,panama,Stone Fruit
bourbon,washed,guatemala,Brown Sugar
heirloom,honey,honduras,Floral
heirloom,washed,ethiopia,Brown Sugar
bourbon,washed,mexico,Cocoa
bourbon,washed,mexico,Cocoa
74110,natural,ethiopia,Other Fruit
various,washed,brazil,Cocoa
caturra,washed,colombia,Brown Sugar
caturra,honey,costa rica,Brown Sugar
castillo,fully washed,colombia,Nutty
sl28,fully washed,kenya,Berry Fruit
bourbon,natural,brazil,Nutty
bourbon,washed,burundi,Other Fruit
bourbon,washed,guatemala,Cocoa
heirloom,washed,ethiopia,Berry Fruit
caturra,washed,colombia,Stone Fruit
caturra,natural,brazil,Cocoa
catuai,washed,guatemala,Brown Spice
typica,washed,peru,Citrus Fruit
74110,natural,ethiopia,Berry Fruit
sl28,fully washed,kenya,Other Fruit
bourbon,washed,rwanda,Berry Fruit
caturra,fully washed,colombia,Sweet
caturra,washed,colombia,Other Fruit
74110,honey,ethiopia,Berry Fruit
heirloom,washed,ethiopia,Black Tea
caturra,natural,brazil,Cocoa
heirloom,natural,ethiopia,Berry Fruit
bourbon,washed,guatemala,Stone Fruit
heirloom,washed,ethiopia,Floral
heirloom,natural,ethiopia,Berry Fruit
bourbon,natural,el salvador,Berry Fruit
bourbon,natural,burundi,Other Fruit
typica,washed,mexico,Citrus Fruit
bourbon,washed,tanzania,Brown Sugar
74110,natural,ethiopia,Black Tea
catuai,natural,brazil,Cocoa
bourbon,honey,honduras,Stone Fruit
caturra,washed,colombia,Citrus Fruit
heirloom,natural,ethiopia,Berry Fruit
heirloom,washed,ethiopia,Floral
catuai,natural,brazil,Stone Fruit
heirloom,natural,etbhiopia,Berry Fruit
heirloom,washed,ethiopia,Floral
geisha,washed,panama,Other Fruit
typica,washed,panama,Cocoa
catuai,washed,honduras,Brown Sugar
catuai,natural,brazil,Cocoa
typica,washed,ethiopia,Brown Sugar
bourbon,washed,ethiopia,Stone Fruit
catuai,natural,brazil,Citrus Fruit
caturra,washed,colombia,Citrus Fruit
caturra,washed,guatemala,Cocoa
typica,fully washed,peru,Berry Fruit
heirloom,natural,ethiopia,Other Fruit
typica,washed,ethiopia,Cocoa
