Roaster	Coffeename	Region	Producer	Variety	Processing	Tastingnotes	Filename	Country	Altitude	Directtrade	J	Process	Varietal	Harvet	Procesing	Url	Farm	Harvesttime	Certification	Latitude	Bean
Detour	Carrizal Arriba, Costa Rica	San Pablo de Leon Cortes, Tarrazu	Gamboa Family	Catuai	Yellow honey	Honeydew, Marmalade, Butterscotch	../Automatic_Drip/R/outputs//EightOunce_Detour_20210206.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Chelbesa, Ethiopia	Gedeb, Gedeo, Ethiopia	1900 to 2200 MASL	Washed	Dega, Wolisho	Candied Lemon, Peach, Earl Grey Tea	../Automatic_Drip/R/outputs//EightOunce_Detour_20210206.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210206.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210206.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Carrizal Arriba, Costa Rica	San Pablo de Leon Cortes, Tarrazu	Gamboa Family	Catuai	Yellow honey	Honeydew, Marmalade, Butterscotch	../Automatic_Drip/R/outputs//EightOunce_Detour_20210207.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Chelbesa, Ethiopia	Gedeb, Gedeo, Ethiopia	1900 to 2200 MASL	Washed	Dega, Wolisho	Candied Lemon, Peach, Earl Grey Tea	../Automatic_Drip/R/outputs//EightOunce_Detour_20210207.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210207.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210207.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Carrizal Arriba, Costa Rica	San Pablo de Leon Cortes, Tarrazu	Gamboa Family	Catuai	Yellow honey	Honeydew, Marmalade, Butterscotch	../Automatic_Drip/R/outputs//EightOunce_Detour_20210214.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Chelbesa, Ethiopia	Gedeb, Gedeo, Ethiopia	1900 to 2200 MASL	Washed	Dega, Wolisho	Candied Lemon, Peach, Earl Grey Tea	../Automatic_Drip/R/outputs//EightOunce_Detour_20210214.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210214.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210214.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Carrizal Arriba, Costa Rica	San Pablo de Leon Cortes, Tarrazu	Gamboa Family	Catuai	Yellow honey	Honeydew, Marmalade, Butterscotch	../Automatic_Drip/R/outputs//EightOunce_Detour_20210221.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Chelbesa, Ethiopia	Gedeb, Gedeo, Ethiopia	1900 to 2200 MASL	Washed	Dega, Wolisho	Candied Lemon, Peach, Earl Grey Tea	../Automatic_Drip/R/outputs//EightOunce_Detour_20210221.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210221.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210221.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Carrizal Arriba, Costa Rica	San Pablo de Leon Cortes, Tarrazu	Gamboa Family	Catuai	Yellow honey	Honeydew, Marmalade, Butterscotch	../Automatic_Drip/R/outputs//EightOunce_Detour_20210228.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210228.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210228.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	Carrizal Arriba, Costa Rica	San Pablo de Leon Cortes, Tarrazu	Gamboa Family	Catuai	Yellow honey	Honeydew, Marmalade, Butterscotch	../Automatic_Drip/R/outputs//EightOunce_Detour_20210309.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	Palestina, Huila	Alexander Vargas	Caturra	Washed	Red Currant, Strawberry, Sugar cane	../Automatic_Drip/R/outputs//EightOunce_Detour_20210309.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Detour	NA	San Agustin, Huila	Association Los Naranjos	Caturra, Colombia	Washed	Apple, Grapefruit, Almond	../Automatic_Drip/R/outputs//EightOunce_Detour_20210309.csv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
